PolicyNumber,CustomerName,DOB,PAN,Mobile,Email,Insurer,VehicleType,VehicleRegNo,IDV,AnnualPremium,PolicyStartDate,PolicyEndDate,City
AUPOL100000,Nitin Sharma,19881220,IFAZG4101U,919839831702,nitin.sharma0@gmail.com,HDFC Life,Bike,MH12AB1471,742536,37512,20240717,20310606,PUNE
AUPOL100001,Nitin Patil,19670210,BEIJL6286Q,917319083979,nitin.patil1@gmail.com,Bajaj Allianz,Bike,MH12AB4399,127157,24502,20220904,20290913,MUMBAI
AUPOL100002,Anil Patil,19820409,KMQYS6477R,917629579356,anil.patil2@gmail.com,Tata AIG,Car,MH12AB8741,272619,29730,20240123,20310304,BENGALURU
AUPOL100003,Prakash Kulkarni,19831204,LWZXQ8168M,918651987167,prakash.kulkarni3@gmail.com,ICICI Lombard,Bike,MH12AB4387,752397,38839,20240121,20310608,DELHI
AUPOL100004,Anil Mehta,19930627,EQYIQ9426J,917123050042,anil.mehta4@gmail.com,SBI Life,Bike,MH12AB4517,573072,35302,20220418,20330402,CHENNAI
AUPOL100005,Anil Kulkarni,19760120,CXIDU4152S,917283546886,anil.kulkarni5@gmail.com,HDFC Life,Car,MH12AB5601,101111,17895,20231214,20320329,HYDERABAD
AUPOL100006,Vikas Mehta,19940202,WPMXB2667V,919402413849,vikas.mehta6@gmail.com,ICICI Lombard,Car,MH12AB2969,452940,22348,20220105,20340521,DELHI
AUPOL100007,Rahul Joshi,19780508,RNEGQ3872Y,91898866129,rahul.joshi7@gmail.com,SBI Life,Bike,MH12AB8404,120407,36535,20230515,20300608,BENGALURU
AUPOL100008,Anil Verma,19740123,VRVGS2266Y,919878416513,anil.verma8@gmail.com,SBI Life,Bike,MH12AB5316,452487,20163,20240630,20281227,BENGALURU
AUPOL100009,Anil Mehta,19670325,LDCFZ9268Q,919925576507,amit.desai9@gmail.com,ICICI Lombard,Bike,MH12AB9534,628211,34258,20220304,20280515,HYDERABAD
AUPOL100010,Anil Desai,19660909,TAMGV5760U,918538274478,anil.desai10@gmail.com,SBI Life,Car,MH12AB3511,753389,30044,20230604,20301023,CHENNAI
AUPOL100011,Suresh Verma,19670622,MZQNE9794W,918110806430,suresh.verma11@gmail.com,Tata AIG,Car,MH12AB4613,155802,11136,20240309,20270629,MUMBAI
AUPOL100012,Rohit Joshi,19840702,MMWYL8592K,917955920262,rohit.joshi12@gmail.com,Tata AIG,Bike,MH12AB2008,380920,23239,20220422,20260516,DELHI
AUPOL100013,Amit Patil,19741126,WHIGD2264E,917996722131,amit.patil13@gmail.com,ICICI Lombard,Bike,MH12AB1936,196719,28318,20240924,20250803,MUMBAI
AUPOL100014,Prakash Sharma,19800621,ETXVY6308V,917074439068,prakash.sharma14@gmail.com,ICICI Lombard,Bike,MH12AB5283,186468,9931,20240125,20350305,PUNE
AUPOL100015,Kiran Mehta,19900514,ENATO4325I,917293122944,kiran.mehta15@gmail.com,HDFC Life,Car,MH12AB3543,336989,37075,20220803,20310711,CHENNAI
AUPOL100016,Manoj Gupta,19650114,DZBKR9044T,918862281889,manoj.gupta16@gmail.com,HDFC Life,Car,MH12AB8213,576481,10235,20241004,20281021,HYDERABAD
AUPOL100017,Suresh Gupta,19700619,BCJFG3731A,919142761394,suresh.gupta17@gmail.com,Bajaj Allianz,Car,MH12AB3102,471510,21570,20221023,20260318,MUMBAI
AUPOL100018,Rohit Sharma,19851226,BHCTK1589Z,919556647420,rohit.sharma18@gmail.com,Tata AIG,Bike,MH12AB4314,565565,15603,20220521,20350318,MUMBAI
AUPOL100019,Vikas Patil,19771111,WHZDR1126L,919803541351,vikas.patil19@gmail.com,HDFC Life,Bike,MH12AB5018,555456,29546,20240118,20270427,CHENNAI
AUPOL100020,Prakash Mehta,19700204,KQQNM9794N,918460829505,prakash.mehta20@gmail.com,SBI Life,Bike,MH12AB7201,506054,20439,20230909,20330424,MUMBAI
AUPOL100021,Amit Sharma,19740520,ADCMA1330A,919441430054,amit.sharma21@gmail.com,ICICI Lombard,Car,MH12AB3372,204352,14891,20220316,20341107,PUNE
AUPOL100022,Rahul Sharma,19990723,OO YEW9280B,918480549143,rahul.sharma22@gmail.com,Tata AIG,Bike,MH12AB9009,668389,25884,20230421,20280927,PUNE
AUPOL100023,Rahul Gupta,19860107,LBUTT4110X,918991677924,rahul.gupta23@gmail.com,SBI Life,Car,MH12AB6093,121090,18558,20240205,20330601,MUMBAI
AUPOL100024,Kiran Joshi,19771114,HATJJ7936A,917635052569,kiran.joshi24@gmail.com,Tata AIG,Bike,MH12AB3539,601054,16785,20220306,20270317,BENGALURU
AUPOL100025,Prakash Verma,19900216,JBVYT3925E,919075270400,prakash.verma25@gmail.com,Tata AIG,Bike,MH12AB7160,277958,8013,20230422,20280408,MUMBAI
AUPOL100026,Amit Sharma,19900529,LWJZM1578M,919763028175,amit.sharma26@gmail.com,Tata AIG,Bike,MH12AB3593,309741,16044,20221128,20261224,BENGALURU
AUPOL100027,Vikas Mehta,19731009,RKLLE3219G,919529754788,vikas.mehta27@gmail.com,ICICI Lombard,Car,MH12AB4924,437032,36335,20220611,20321227,PUNE
AUPOL100028,Vikas Desai,19990716,YCTOE1596V,918404771157,vikas.desai28@gmail.com,ICICI Lombard,Car,MH12AB5073,778180,34909,20240323,20280221,HYDERABAD
AUPOL100029,Prakash Patil,19910704,ZBTOP9204O,919540688099,prakash.patil29@gmail.com,SBI Life,Bike,MH12AB2307,185276,8201,20231205,20300715,PUNE
AUPOL100030,Vikas Mehta,19811020,DLNJX9220P,918887648280,vikas.mehta30@gmail.com,ICICI Lombard,Bike,MH12AB2952,194667,33351,20220910,20351215,MUMBAI
AUPOL100031,Suresh Kulkarni,19760208,AUUPK1696P,91736083472,suresh.kulkarni31@gmail.com,Tata AIG,Bike,MH12AB3294,689525,15561,20240718,20351022,HYDERABAD
AUPOL100032,Prakash Kulkarni,19681016,TRDWI5051D,919446824391,prakash.kulkarni32@gmail.com,Bajaj Allianz,Bike,MH12AB9650,169795,28379,20220923,20340327,PUNE
AUPOL100033,Nitin Mehta,19700212,YQZMV3080Q,919953316014,nitin.mehta33@gmail.com,Bajaj Allianz,Car,MH12AB8543,609603,27338,20240408,20350730,HYDERABAD
AUPOL100034,Manoj Sharma,19930313,FVJX2460Y,919051157465,manoj.sharma34@gmail.com,ICICI Lombard,Car,MH12AB9395,85928,34634,20220823,20311030,MUMBAI
AUPOL100035,Rahul Patil,19940904,VWNFA4703N,917631616228,rahul.patil35@gmail.com,Bajaj Allianz,Bike,MH12AB8858,766903,23839,20220811,20320923,DELHI
AUPOL100036,Nitin Kulkarni,19720514,BZRQA2263I,919007722665,nitin.kulkarni36@gmail.com,Bajaj Allianz,Bike,MH12AB1486,130290,29685,20220127,20321126,MUMBAI
AUPOL100037,Suresh Kulkarni,19731109,BNFTL3225J,917448714914,suresh.kulkarni37@gmail.com,SBI Life,Car,MH12AB3416,361081,23930,20230104,20350822,MUMBAI
AUPOL100038,Amit Mehta,19861129,EEPGR7945A,918396827438,amit.mehta38@gmail.com,ICICI Lombard,Bike,MH12AB5114,733675,35300,20220921,20320411,PUNE
AUPOL100039,Prakash Mehta,19941205,VDGEH3169U,918254266938,prakash.mehta39@gmail.com,ICICI Lombard,Car,MH12AB7729,652789,11944,20220322,20290807,BENGALURU
AUPOL100040,Prakash Sharma,19980429,BXSNH2086O,917743734968,prakash.sharma40@gmail.com,SBI Life,Car,MH12AB8398,216782,10764,20221127,20280105,PUNE
AUPOL100041,Kiran Kulkarni,19660619,TOPQO5742J,919500227524,kiran.kulkarni41@gmail.com,SBI Life,Bike,MH12AB6540,208802,38178,20220420,20260425,HYDERABAD
AUPOL100042,Manoj Kulkarni,19810908,OLFJK2999J,919933905575,manoj.kulkarni42@gmail.com,ICICI Lombard,Bike,MH12AB9179,577085,10606,20221229,20350224,HYDERABAD
AUPOL100043,Suresh Verma,19921109,AEDOT9430R,919317856497,suresh.verma43@gmail.com,Tata AIG,Car,MH12AB5227,782000,11937,20241210,20350124,PUNE
AUPOL100044,Rahul Mehta,19740104,XNRUU7788C,918398540635,rahul.mehta44@gmail.com,SBI Life,Bike,MH12AB7905,403360,26360,20240720,20260806,PUNE
AUPOL100045,Rohit Kulkarni,19680318,WYAIY3179M,918807825379,rohit.kulkarni45@gmail.com,ICICI Lombard,Bike,MH12AB6193,779797,22758,20220426,20340725,MUMBAI
AUPOL100046,Vikas Verma,19710504,BWHTZ7084K,917974500902,vikas.verma46@gmail.com,HDFC Life,Bike,MH12AB1580,526334,8577,20230425,20270518,PUNE
AUPOL100047,Anil Verma,19730331,PTPHH4627L,917253229374,anil.verma47@gmail.com,Tata AIG,Car,MH12AB8675,215814,25505,20220216,20251007,HYDERABAD
AUPOL100048,Vikas Sharma,19810308,QRPST2567C,91953993257,vikas.sharma48@gmail.com,ICICI Lombard,Car,MH12AB5519,80749,22302,20240214,20300728,MUMBAI
