PolicyNum,CustomerName,DOB,Gender,PAN,Mobile,Email,Insurer,PlanName,PolicyTerm,SumAssured,AnnualPrem,PolicyStart,PolicyEnd,NomineeName,NomineeRelation,City
LIPOL1000,Rahul Desai,19661212,M,MAUKT368,91724516,rahul.desai,SBI Life,Standard P,30,500000,39221,20220824,20260527,Spouse,Spouse,HYDERABAD
LIPOL1000,Amit Mehta,20000715,M,JSCHG1913,91961010,amit.meht,HDFC Life,Standard P,10,1000000,29781,20231101,20290521,Spouse,Spouse,PUNE
LIPOL1000,Amit Mehta,19690527,M,MMMVH54,91701578,amit.meht,Bajaj Allian,Standard P,20,2000000,23662,20231108,20351214,Spouse,Spouse,PUNE
LIPOL1000,Suresh Meht,19690607,M,GJETAZ639,91940492,suresh.meht,SBI Life,Standard P,30,500000,12977,20220407,20260922,Spouse,Spouse,PUNE
LIPOL1000,Anil Kulkar,19800806,F,LIAIK8163,91799503,anil.kulkar,HDFC Life,Standard P,20,2000000,34167,20210104,20251004,Spouse,Spouse,PUNE
LIPOL1000,Manoj Desi,19950624,F,CGGMK47,91724451,manoj.desi,Tata AIG,Standard P,30,1000000,8657,20220416,20331205,Spouse,Spouse,HYDERABAD
LIPOL1000,Vikas Meht,19950707,F,IUJRQ3708,91842841,vikas.meht,Tata AIG,Standard P,25,500000,16507,20240106,20260129,Spouse,Spouse,CHENNAI
LIPOL1000,Vikas Sharn,19701225,M,QUUJX272,91728587,vikas.patil,SBI Life,Standard P,10,500000,35193,20240427,20250210,Spouse,Spouse,MUMBAI
LIPOL1000,Manoj Josh,19710212,F,AIXALS662,91881148,kiran.sharn,ICICI Lomb,Standard P,15,1000000,19558,20240711,20250713,Spouse,Spouse,BENGALURU
LIPOL1000,Vikas Sharn,19970331,M,XOQQV895,91749630,vikas.sharn,HDFC Life,Standard P,15,500000,28905,20230923,20350810,Spouse,Spouse,BENGALURU
LIPOL1000,Suresh Shai,19720413,F,OHTBR331,91952114,kiran.sharn,ICICI Lomb,Standard P,20,500000,20233,20230613,20350110,Spouse,Spouse,DELHI
